Test_Name,Map,Method,Epsilon,Gamma,Strategy,Episodes,Time,Accuracy
Complexity_Test,map1.bmp,SARSA,0.1,0.5,S1,50000,6.61,100.0
Complexity_Test,map1.bmp,Q-Learning,0.1,0.5,S1,50000,6.96,100.0
Complexity_Test,map2.bmp,SARSA,0.1,0.5,S1,50000,19.79,88.74
Complexity_Test,map2.bmp,Q-Learning,0.1,0.5,S1,50000,23.15,84.44
Complexity_Test,map3.bmp,SARSA,0.1,0.5,S1,50000,44.91,12.9
Complexity_Test,map3.bmp,Q-Learning,0.1,0.5,S1,50000,24.8,88.99
Complexity_Test,map4.bmp,SARSA,0.1,0.5,S1,50000,35.07,39.97
Complexity_Test,map4.bmp,Q-Learning,0.1,0.5,S1,50000,26.43,96.11
Epsilon_Test,map4.bmp,SARSA,0.0,0.5,S1,50000,23.23,97.92
Epsilon_Test,map4.bmp,Q-Learning,0.0,0.5,S1,50000,26.82,96.11
Epsilon_Test,map4.bmp,SARSA,0.5,0.5,S1,50000,28.83,38.24
Epsilon_Test,map4.bmp,Q-Learning,0.5,0.5,S1,50000,28.89,97.92
Epsilon_Test,map4.bmp,SARSA,1.0,0.5,S1,50000,19.89,0.69
Epsilon_Test,map4.bmp,Q-Learning,1.0,0.5,S1,50000,28.63,97.23
Gamma_Test,map4.bmp,SARSA,0.5,0.1,S1,50000,41.4,2.42
Gamma_Test,map4.bmp,Q-Learning,0.5,0.1,S1,50000,36.98,30.97
Gamma_Test,map4.bmp,SARSA,0.5,0.5,S1,50000,29.38,38.06
Gamma_Test,map4.bmp,Q-Learning,0.5,0.5,S1,50000,28.96,97.92
Gamma_Test,map4.bmp,SARSA,0.5,1.0,S1,50000,26.73,76.12
Gamma_Test,map4.bmp,Q-Learning,0.5,1.0,S1,50000,27.01,100.0
Strategy_Comparison,map4.bmp,SARSA,0.5,0.5,S1,50000,29.03,39.53
Strategy_Comparison,map4.bmp,SARSA,0.5,0.5,S2,50000,25.19,60.55
Strategy_Comparison,map4.bmp,Q-Learning,0.5,0.5,S1,50000,27.79,97.92
Strategy_Comparison,map4.bmp,Q-Learning,0.5,0.5,S2,50000,26.37,89.36
